title;price;seller;ram;memory
Apple iPhone 12 Pro 128Gb Pacific Blue;438000;Продавец Aruka;6 Гб;128Гб
BQ BQ-1848 Step+ Black;3819;Apl Tech;null;32Гб
Apple iPhone 11 Pro 512Gb Black;380000;Продавец sum-il@rambler.ru;null;512Гб
Apple iPhone 11 Pro Max 256Gb Space Gray;525000;Technosale;6 Гб;256Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Glacier Blue;132950;Kansha.kz;8 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Pacific Blue;472990;Eva Phone;6 Гб;128Гб
Apple iPhone 12 Pro 256Gb Pacific Blue;468895;ABC-Mobile;6 Гб;256Гб
Apple iPhone 11 64Gb Red;267369;Kansha.kz;4 Гб;64Гб
Apple iPhone 11 128Gb;287369;Kansha.kz;4 Гб;128Гб
Apple iPhone 11 Pro Max 512Gb Gold;924307;Apl Tech;6 Гб;512Гб
OnePlus 8T 8/128Gb Lunar Silver;220000;Kansha.kz;8 Гб;128Гб
Xiaomi Mi Note 10 Lite 6/128Gb Midnight Black;139750;AllBest.kz;6 Гб;128Гб
Xiaomi Redmi 9 3/32Gb Carbon Gray;51495;Eva Phone;3 Гб;32Гб
Meizu M10 3/32Gb Black;45895;RM-Smart.Technology;3 Гб;32Гб
Samsung Galaxy A72 8/256Gb Awesome Blue;190000;Technosale;8 Гб;256Гб
